P,E_star,I_star,eig1_real,eig1_imag,eig2_real,eig2_imag,max_real_eig,stable
7.36,0.4998016658109173,0.4554191828901893,-1.9901452191581201,0.0,-1.0330992571176687,0.0,-1.0330992571176687,True
7.4,0.49981322813945206,0.4554254602786639,-1.9907214194935394,0.0,-1.0329132714975797,0.0,-1.0329132714975797,True
7.44,0.49982411574534497,0.4554313706986916,-1.9912638011497668,0.0,-1.0327383645240833,0.0,-1.0327383645240833,True
7.48,0.49983436807807546,0.4554369356796504,-1.9917743638594316,0.0,-1.0325738625100833,0.0,-1.0325738625100833,True
7.5200000000000005,0.4998440222720344,0.4554421754791404,-1.9922549873907354,0.0,-1.0324191343109428,0.0,-1.0324191343109428,True
7.5600000000000005,0.4998531132840735,0.45544710915684156,-1.9927074389449966,0.0,-1.032273588458558,0.0,-1.032273588458558,True
7.6000000000000005,0.4998616740188828,0.4554517546559037,-1.993133380072706,0.0,-1.0321366705075246,0.0,-1.0321366705075246,True
7.640000000000001,0.4998697354555324,0.45545612885329106,-1.9935343731477828,0.0,-1.0320078605791407,0.0,-1.0320078605791407,True
7.68,0.4998773267567728,0.45546024763552706,-1.9939118874227129,0.0,-1.031886671081463,0.0,-1.031886671081463,True
7.72,0.49988447537735564,0.4554641259540739,-1.9942673047003183,0.0,-1.031772644595063,0.0,-1.031772644595063,True
7.76,0.4998912071645862,0.45546777788091847,-1.994601924645444,0.0,-1.0316653519092418,0.0,-1.0316653519092418,True
7.8,0.49989754645290124,0.4554712166607896,-1.9949169697615952,0.0,-1.0315643901969338,0.0,-1.0315643901969338,True
7.84,0.4999035161528322,0.4554744547602187,-1.9952135900551262,0.0,-1.0314693813173117,0.0,-1.0314693813173117,True
7.88,0.49990913783469215,0.4554775039136422,-1.9954928674078443,0.0,-1.0313799702361,0.0,-1.0313799702361,True
7.92,0.49991443180730305,0.45548037516672896,-1.9957558196773988,0.0,-1.0312958235544971,0.0,-1.0312958235544971,True
7.96,0.49991941719206234,0.4554830789171051,-1.996003404543368,0.0,-1.03121662813841,0.0,-1.03121662813841,True
8.0,0.49992411199262765,0.45548562495263695,-1.9962365231157,0.0,-1.0311420898404273,0.0,-1.0311420898404273,True
